Title,Authors,Contributors,ISBN/UID,Format,Read Status,Date Added,Last Date Read,Dates Read,Read Count,Moods,Pace,Character- or Plot-Driven?,Strong Character Development?,Loveable Characters?,Diverse Characters?,Flawed Characters?,Star Rating,Review,Content Warnings,Content Warning Description,Tags,Owned?
You've Lost a Lot of Blood,Eric LaRocca,"",9781088025758,paperback,to-read,2024/05/06,"","",0,"",,,,,,,,,"",,"",No
Long After We Are Gone,Terah Shelton Harris,"",9781728265773,paperback,to-read,2024/09/06,"","",0,"",,,,,,,,,"",,"",Yes
Shuggie Bain,Douglas Stuart,"",9780802148049,hardcover,to-read,2024/08/27,"","",0,"",,,,,,,,,"",,"",No
Helpmeet,Naben Ruthnum,"",9781988964386,paperback,to-read,2024/10/01,"","",0,"",,,,,,,,,"",,"",No
Angelfall,Susan Ee,"",9780761463276,paperback,to-read,2024/04/01,"","",0,"",,,,,,,,,"",,"",No
Come as You Are: The Surprising New Science That Will Transform Your Sex Life,Emily Nagoski,"",9781476762098,paperback,to-read,2024/09/17,"","",0,"",,,,,,,,,"",,"",No
She Gets the Girl,"Alyson Derrick, Rachael Lippincott","",9781534493797,hardcover,to-read,2024/05/07,"","",0,"",,,,,,,,,"",,"",No
Certainty,Madeleine Thien,"",,,to-read,2024/01/23,"","",0,"",,,,,,,,,"",,"",No
The Sun Also Rises,Ernest Hemingway,"","",paperback,to-read,2024/08/24,"","",0,"",,,,,,,,,"",,"",Yes
The End We Start from,Megan Hunter,"",9780802126894,hardcover,to-read,2024/03/17,"","",0,"",,,,,,,,,"",,"",No
Adelaide,Genevieve Wheeler,"",9781250280848,hardcover,to-read,2024/03/26,"","",0,"",,,,,,,,,"",,"",No
Fluids,May Leitz,"",9781667842424,digital,to-read,2024/06/12,"","",0,"",,,,,,,,,"",,"",No
Anxious People,Fredrik Backman,Neil Smith (Translator),9781501160837,hardcover,to-read,2025/02/09,"","",0,"",,,,,,,,,"",,"",No
Fahrenheit 451,Ray Bradbury,"",9781451673319,paperback,to-read,2024/11/17,"","",0,"",,,,,,,,,"",,"",Yes
The Nightingale,Kristin Hannah,"",0312577222,hardcover,to-read,2024/03/24,"","",0,"",,,,,,,,,"",,"",No
Time of the Flies,Claudia Piñeiro,Frances Riddle (Translator),9781913867867,paperback,to-read,2024/10/20,"","",0,"",,,,,,,,,"",,"",No
At Certain Points We Touch,Lauren John Joseph,"",9781526631305,hardcover,to-read,2024/08/23,"","",0,"",,,,,,,,,"",,"",No
On a Woman's Madness,Astrid H. Roemer,Lucy Scott (Translator),9781949641431,hardcover,to-read,2025/02/26,"","",0,"",,,,,,,,,"",,"",No
I Am Legend,Richard Matheson,"",9780312865047,paperback,to-read,2024/10/28,"","",0,"",,,,,,,,,"",,"",No
Knee-Deep in Cinders,Ashley Capes,"",9781763680906,digital,to-read,2024/11/28,"","",0,"",,,,,,,,,"",,"",No
Killing Kanoko: Selected Poems of Hiromi Ito,Hiromi Itō,Jeffrey Angles (Translator),9780979975547,paperback,to-read,2025/01/08,"","",0,"",,,,,,,,,"",,"b-phys, translated, challenge, japanese, bought",Yes
Big Swiss,Jen Beagin,"",B0B3Y8WL2L,digital,read,2024/04/08,2024/12/02,2024/11/30-2024/12/02,1,"dark, funny",medium,Character,Yes,Yes,No,Yes,4.75,"<div>the audience for this book imo is very niche (lesbian milf lovers with mommy issues who love toxic relationships) however I fit that to a T so I can't help but love it.. i also think the writing was so readable and digestible, kinda reads like emily austin but darker and more sexually explicit<br><br>i guess my only complaint is that it's kind of disappointing that greta is one of the few fmcs who is over like 25 but she acts like a teenager. I get why but it just feels like a missed opportunity&nbsp;</div>","","","non-translated, libby, lambda, library",No
Red House Alley,Else Jerusalem,"Stephanie Ortega (Translator), Sophie Haydock (Contributor)",9781915812360,paperback,to-read,2025/01/29,"","",0,"",,,,,,,,,"",,"",Yes
All Systems Red,Martha Wells,"",9781250214713,hardcover,to-read,2024/11/19,"","",0,"",,,,,,,,,"",,"",No
The Dangers of Smoking in Bed,Mariana Enríquez,Megan McDowell (Translator),9780593134078,hardcover,to-read,2024/06/09,"","",0,"",,,,,,,,,"",,"translated, spanish",No
"Blood Meridian, or The Evening Redness in the West",Cormac McCarthy,"",9780679728757,paperback,to-read,2024/06/12,"","",0,"",,,,,,,,,"",,"",No
Commonwealth,Ann Patchett,"",9780062666437,paperback,to-read,2024/08/22,"","",0,"",,,,,,,,,"",,"",No
New Mistakes,Clement Goldberg,"",9781635902259,paperback,to-read,2024/11/22,"","",0,"",,,,,,,,,"",,"",Yes
Eugene Onegin,Alexander Pushkin,Stanley Mitchell (Translator),9780140448108,paperback,to-read,2024/08/24,"","",0,"",,,,,,,,,"",,"",Yes
Redwood Court,DéLana R.A. Dameron,"",9780593447024,hardcover,to-read,2024/09/06,"","",0,"",,,,,,,,,"",,"",Yes
Orbital,Samantha Harvey,"",9780802161543,hardcover,read,2024/08/23,2024/11/15,2024/11/14-2024/11/15,1,"informative, reflective, challenging",slow,Character,No,No,No,Yes,2.5,"<div>tbh this would have been way better as a series of essays OR with half of the characters. i understand why it won the booker prize because of topicality, but i feel like as a work of fiction it does nothing. not sure why this is labeled as sci-fi though...?&nbsp;<br><br>there are some reflective isolated thoughts that i enjoyed, but everything was so underdevolped and unnuanced that i feel like it failed on its message. i also feel like the lack of diverse characters (mainly white, one japanese woman) meant the lack of a lot of nuance about humanity. all in all i like the idea, but horrid execution.&nbsp;</div>","","","non-translated, ursula, library-p, booker, orwell, library",No
FEVER,Shilo Niziolek,"",9798986078892,paperback,to-read,2024/06/19,"","",0,"",,,,,,,,,"",,"",No
Mayflies,Andrew O'Hagan,"",9780571273683,hardcover,to-read,2024/08/23,"","",0,"",,,,,,,,,"",,"",No
All Friends Are Necessary,Tomas Moniz,"",9781643755816,hardcover,to-read,2024/08/24,"","",0,"",,,,,,,,,"",,"",Yes
A Manual for How to Love Us,Erin Slaughter,"",9780063230880,paperback,to-read,2024/12/05,"","",0,"",,,,,,,,,"",,"",No
Notes on Her Color,Jennifer Neal,"",9781646221196,hardcover,to-read,2024/01/23,"","",0,"",,,,,,,,,"",,"",No
Women Who Run with the Wolves: Myths and Stories of the Wild Woman Archetype,Clarissa Pinkola Estés,"",9780345409874,paperback,to-read,2025/01/10,"","",0,"",,,,,,,,,"",,"",No
Atonement,Ian McEwan,"",9780385721790,paperback,to-read,2024/06/24,"","",0,"",,,,,,,,,"",,"",No
The Survivor Stands ,Aimee Donnellan,"",9781738584352,digital,to-read,2024/05/07,"","",0,"",,,,,,,,,"",,"",No
Severance,Ling Ma,"",9780374261597,hardcover,to-read,2024/01/27,"","",0,"",,,,,,,,,"",,"",No
The Way of Kings,Brandon Sanderson,"",9780765326355,hardcover,to-read,2024/10/02,"","",0,"",,,,,,,,,"",,"",No
Within Arm's Reach,Ann Napolitano,"",9780593732496,paperback,to-read,2024/06/27,"","",0,"",,,,,,,,,"",,"",No
The Sorrows of Others,Ada Zhang,"",9781736370964,paperback,to-read,2025/01/09,"","",0,"",,,,,,,,,"",,challenge,No
Model Home,Rivers Solomon,"",9780374607135,hardcover,to-read,2024/10/23,"","",0,"",,,,,,,,,"",,challenge,No
A Manual for Cleaning Women ,Lucia Berlin,"",9781529077223,paperback,to-read,2025/01/15,"","",0,"",,,,,,,,,"",,"",No
Fingersmith,Sarah Waters,"",9781573229722,paperback,to-read,2024/06/11,"","",0,"",,,,,,,,,"",,"",No
Cicada Summer,Erica McKeen,"",9781324073819,paperback,to-read,2024/08/23,"","",0,"",,,,,,,,,"",,"",No
Record of a Night Too Brief,Hiromi Kawakami,Lucy North (Translator),9781782272717,paperback,to-read,2024/09/29,"","",0,"",,,,,,,,,"",,"",No
Mistress of Lies,K.M. Enright,"",9780356521602,hardcover,to-read,2024/09/03,"","",0,"",,,,,,,,,"",,"",Yes
I Sexually Identify as an Attack Helicopter,Isabel Fall,"","",digital,to-read,2025/02/14,"","",0,"",,,,,,,,,"",,"",No
The Woman Destroyed,Simone de Beauvoir,Patrick O'Brian (Translator),9780394711034,paperback,to-read,2024/11/19,"","",0,"",,,,,,,,,"",,"",No
Persephone,Lev Grossman,"",B0BGQ5S4XS,digital,to-read,2024/09/29,"","",0,"",,,,,,,,,"",,"",No
Wolf Hall,Hilary Mantel,"",9780007230204,paperback,to-read,2025/01/31,"","",0,"",,,,,,,,,"",,"",No
The Covenant of Water,Abraham Verghese,"",B0BJSGV831,digital,read,2024/01/16,2024/04/22,2024/01/16-2024/04/22,1,"sad, reflective",medium,Character,Yes,It's complicated,Yes,Yes,3.75,"<div>there are some very engaging and some very slow parts of the book, which considering how long it is may or may not make it worth it. some parts i cried at and some parts i was just skipping ahead. while sad i also got really frustrated at some of the characters &lt;spoiler&gt;philipose!!!!&lt;/spoiler&gt; but i think their growth really shone through. i did have like a month break reading this, i think the very first parts are very slow and not as interesting as the rest, its a book you need to put down every once in awhile to fully enjoy&nbsp;</div>","","","non-translated, oprah, libby, library",No
Pretty Girls,Karin Slaughter,"",9780062430878,paperback,to-read,2024/05/04,"","",0,"",,,,,,,,,"",,"",No
Autobiography of Red,Anne Carson,"",9780375701290,paperback,to-read,2025/01/07,"","",0,"",,,,,,,,,"",,"",No
The Priory of the Orange Tree,Samantha Shannon,"",9781635570298,hardcover,to-read,2024/04/01,"","",0,"",,,,,,,,,"",,"",No
